id,brand,owner_id,created_at,status,max_slots,price_cents,currency
32,Spotify,1667,2023-06-05 21:28:33,0,4,1315,EUR
33,Midjourney,658,2024-04-04 23:29:23,0,5,1468,EUR
34,Midjourney,240,2023-10-21 16:44:42,0,4,6,EUR
35,Notion,2390,2020-07-10 03:37:58,2,4,838,EUR
36,NordVPN,510,2025-01-22 03:37:05,0,3,5,EUR
37,Notion,329,2020-10-02 23:34:33,0,4,1314,EUR
38,Microsoft 365,1991,2020-08-05 08:59:13,2,4,225,EUR
39,Spotify,693,2023-09-01 06:09:54,0,4,1429,EUR
40,Apple Music,1477,2021-07-16 13:54:14,0,6,1438,EUR
41,Midjourney,1031,2024-09-23 21:43:06,3,5,1084,EUR
42,HBO Max,1144,2020-10-11 05:30:44,1,2,440,EUR
43,ChatGPT Plus,1481,2022-10-25 14:26:33,3,3,608,
44,Spotify,776,2021-03-27 00:48:33,0,4,893,EUR
45,Disney+,494,2021-06-06 16:00:58,0,5,266,EUR
46,Disney+,326,2020-07-27 04:50:52,0,5,1163,EUR
47,Microsoft 365,745,2022-10-14 07:39:06,0,5,316,EUR
48,Midjourney,282,2022-02-02 01:59:43,0,5,792,EUR
49,Microsoft 365,695,2022-06-28 17:04:31,1,4,1195,
50,Disney+,835,2022-07-12 02:55:22,0,5,969,EUR
51,Microsoft 365,283,2023-09-08 04:30:13,0,4,233,EUR
52,Netflix,919,2022-04-03 08:13:43,3,4,299,€
53,Apple Music,86,2023-10-13 17:42:48,0,5,13,EUR
54,Adobe CC,1326,2024-01-24 15:41:50,0,2,1316,EUR
55,NordVPN,90,2021-06-03 10:31:26,3,3,685,EUR
56,Canal+,1246,2023-04-20 03:10:04,0,4,1142,EUR
57,YouTube Premium,751,2021-05-15 07:49:07,1,5,11,EUR
58,ChatGPT Plus,273,2024-05-10 22:43:07,0,5,1209,EUR
59,Adobe CC,560,2021-07-31 20:05:54,0,4,1340,EUR
60,YouTube Premium,675,2024-10-14 07:18:39,0,4,1491,EUR
61,Adobe CC,713,2023-05-25 15:02:43,0,4,779,EUR
62,Disney+,1776,2023-07-28 15:22:07,0,4,1213,EUR
63,Notion,481,2023-11-21 19:40:35,0,4,485,EUR
64,HBO Max,607,2021-09-23 06:42:36,2,6,5,EUR
65,Amazon Prime,750,2023-07-10 12:44:43,0,4,607,EUR
66,Adobe CC,1487,2021-03-08 03:16:27,0,5,847,EUR
67,Deezer,127,2021-07-06 15:06:02,0,4,628,EUR
68,Netflix,544,2023-08-11 06:04:33,3,5,948,EUR
69,Midjourney,1924,2024-05-23 14:10:43,1,4,1142,
70,Midjourney,1317,2024-11-17 05:25:30,1,4,1090,
71,NordVPN,829,2022-03-30 09:15:04,0,4,452,EUR
72,HBO Max,1244,2022-08-29 17:34:16,1,4,1010,EUR
73,Notion,101,2021-12-30 01:26:11,3,6,1179,€
74,YouTube Premium,544,2020-06-19 13:50:21,2,3,580,EUR
75,YouTube Premium,496,2022-01-11 05:36:23,3,3,1436,EUR
76,NordVPN,431,2023-11-10 21:28:56,0,2,1348,EUR
77,Apple Music,1671,2024-04-30 18:12:13,0,5,582,EUR
78,Midjourney,1274,2021-10-09 09:43:34,0,4,892,EUR
79,Netflix,374,2021-03-19 19:14:14,0,6,333,EUR
80,Amazon Prime,359,2022-10-15 12:18:49,0,4,808,EUR
81,Midjourney,306,2020-06-29 06:00:27,2,4,857,EUR
82,Disney+,701,2023-09-22 14:14:33,0,6,862,EUR
83,Amazon Prime,414,2022-04-19 01:11:12,0,2,1005,
84,Disney+,317,2024-02-04 17:14:10,3,5,508,EUR
85,YouTube Premium,448,2021-01-21 08:38:06,0,5,269,EUR
86,Netflix,980,2024-03-08 04:44:02,0,4,307,EUR
87,Disney+,642,2024-09-12 01:57:58,2,3,789,€
88,Microsoft 365,1621,2022-12-12 08:02:26,2,3,1215,EUR
89,Notion,2475,2023-07-15 16:22:16,0,4,1060,EUR
90,ChatGPT Plus,881,2021-10-10 19:05:06,0,2,1029,EUR
91,ChatGPT Plus,1300,2023-11-06 18:07:23,3,5,1043,EUR
92,NordVPN,646,2024-07-19 00:30:25,1,4,1270,
93,Adobe CC,1169,2024-07-14 23:52:24,2,5,768,EUR
94,Midjourney,2145,2024-09-20 08:30:53,0,4,1470,€
95,Microsoft 365,1224,2022-03-07 19:05:29,0,4,1093,EUR
96,NordVPN,1998,2022-08-09 06:41:21,3,3,406,EUR
97,Amazon Prime,1804,2021-01-18 20:48:13,2,6,874,EUR
98,Netflix,516,2020-06-13 16:30:28,2,3,1122,EUR
99,Disney+,335,2022-01-21 23:13:03,2,6,822,EUR
100,Adobe CC,1903,2021-10-16 02:55:05,0,5,1232,EUR
101,Amazon Prime,1027,2021-08-14 03:21:30,3,3,1122,EUR
102,Adobe CC,676,2025-01-24 09:35:29,3,4,994,EUR
103,YouTube Premium,1498,2022-08-03 13:20:00,1,4,826,
104,ChatGPT Plus,1992,2022-09-21 00:36:47,0,5,864,EUR
105,Notion,1162,2023-09-15 19:25:56,0,5,694,USD
106,Disney+,911,2022-02-16 12:17:55,0,3,1312,USD
107,Apple Music,787,2021-07-17 09:05:28,0,4,929,EUR
108,Canal+,833,2023-03-24 23:08:42,0,6,1016,EUR
109,Deezer,1011,2021-04-07 07:18:06,3,3,1163,EUR
110,HBO Max,1073,2023-04-15 19:40:35,0,5,1287,EUR
111,Apple Music,147,2023-09-02 17:48:23,0,4,515,EUR
112,Notion,141,2024-10-09 15:16:19,1,4,14,€
113,Apple Music,1084,2024-12-17 08:32:42,3,2,677,€
114,Spotify,1496,2024-04-07 06:56:03,0,4,11,EUR
115,Midjourney,316,2022-03-22 03:51:10,0,4,13,EUR
116,Microsoft 365,1253,2024-12-18 04:11:28,0,6,769,EUR
117,NordVPN,25,2024-02-07 02:05:04,1,5,1174,USD
118,NordVPN,1834,2024-07-22 23:45:41,0,4,513,EUR
119,Canal+,1249,2024-11-23 04:08:16,0,4,286,EUR
120,Microsoft 365,1540,2024-08-08 00:50:25,0,4,229,EUR
121,NordVPN,457,2022-07-21 11:55:52,2,5,1397,EUR
122,Apple Music,1348,2020-06-04 09:15:30,0,5,753,USD
123,YouTube Premium,1642,2021-03-07 16:37:18,0,4,486,EUR
124,HBO Max,36,2022-01-16 01:38:09,2,3,665,EUR
125,Canal+,965,2024-12-11 16:49:04,0,4,948,EUR
126,Midjourney,1052,2024-01-13 13:11:38,2,6,1270,EUR
127,Microsoft 365,1546,2021-07-07 05:06:38,2,4,1264,EUR
128,Spotify,567,2023-12-28 18:41:37,0,5,650,USD
129,Deezer,1317,2025-01-30 13:16:47,0,5,773,EUR
130,Amazon Prime,1901,2022-03-14 18:51:00,0,6,594,EUR
131,YouTube Premium,1210,2021-02-24 14:18:39,0,6,1284,EUR
132,Amazon Prime,1108,2021-09-08 17:35:43,0,3,981,€
133,NordVPN,849,2025-01-30 22:27:50,1,2,1060,EUR
134,YouTube Premium,296,2024-06-11 21:53:47,0,5,4,USD
135,ChatGPT Plus,1392,2020-11-23 21:26:51,0,5,1077,EUR
136,Adobe CC,1111,2024-03-23 22:52:01,0,5,774,
137,Canal+,1441,2021-01-06 08:24:56,1,4,1216,EUR
138,Midjourney,1677,2025-01-18 03:45:14,0,5,1126,EUR
139,Spotify,1195,2023-02-21 11:10:22,0,3,1389,EUR
140,Adobe CC,1459,2023-09-27 13:44:11,0,5,630,EUR
141,Amazon Prime,421,2020-08-11 00:07:41,3,6,1180,EUR
142,Spotify,1396,2021-12-13 12:05:57,0,5,15,EUR
143,Notion,1800,2025-01-24 22:03:50,0,6,1305,EUR
144,Spotify,1562,2024-10-04 19:47:59,2,5,254,EUR
145,Microsoft 365,795,2020-09-22 20:40:02,3,2,1400,EUR
146,Disney+,1137,2023-09-18 07:12:31,1,5,658,EUR
147,Apple Music,1740,2022-12-31 20:05:15,1,4,294,EUR
148,HBO Max,672,2024-10-05 17:20:38,1,5,661,EUR
149,Netflix,914,2024-07-22 13:18:04,0,5,549,EUR
150,Deezer,206,2023-03-21 00:07:14,0,2,851,
151,Spotify,1319,2024-11-17 11:44:45,0,5,655,EUR
152,Canal+,92,2023-07-18 05:33:34,3,4,414,EUR
153,Netflix,990,2021-04-15 03:42:02,2,6,860,EUR
154,Spotify,910,2023-03-05 13:30:42,1,4,1293,EUR
155,Midjourney,897,2024-03-31 03:21:18,1,4,491,
156,Canal+,1286,2023-06-15 15:49:01,0,4,1043,EUR
157,Notion,1874,2022-05-22 11:54:20,2,4,1075,€
158,Disney+,447,2023-02-18 00:35:04,0,5,1236,USD
159,HBO Max,1936,2023-07-13 06:46:37,0,6,1431,EUR
160,Spotify,479,2024-09-29 13:04:07,0,4,626,EUR
161,Amazon Prime,679,2023-07-20 05:36:00,3,5,535,EUR
162,Apple Music,186,2023-08-03 09:35:00,0,4,720,EUR
163,HBO Max,50,2022-03-07 01:42:11,0,5,1164,EUR
164,Microsoft 365,708,2023-06-14 08:12:26,0,5,1484,EUR
165,Spotify,1249,2024-01-11 11:32:18,0,2,226,USD
166,Spotify,1361,2023-11-09 16:55:21,1,3,787,EUR
167,ChatGPT Plus,615,2022-09-28 14:27:45,2,4,319,EUR
168,HBO Max,1422,2024-03-29 07:40:41,0,5,463,EUR
169,Canal+,830,2022-06-20 21:24:23,3,5,258,EUR
170,Midjourney,713,2020-08-31 20:54:36,1,5,987,EUR
171,Apple Music,387,2023-08-16 15:28:38,0,3,973,EUR
172,Disney+,4,2023-01-30 20:20:46,2,6,769,
173,ChatGPT Plus,1625,2021-07-03 16:48:53,0,5,650,EUR
174,YouTube Premium,2243,2024-02-20 22:37:42,3,4,1062,EUR
175,HBO Max,1770,2021-01-11 05:08:52,0,5,765,EUR
176,Disney+,1264,2022-03-19 10:49:52,0,5,328,USD
177,Midjourney,890,2023-01-11 08:14:50,0,5,307,EUR
178,Apple Music,263,2022-04-09 21:04:27,0,4,930,EUR
179,Deezer,1298,2023-06-12 02:24:15,1,3,574,EUR
180,Notion,539,2021-03-15 22:50:15,0,2,643,
181,Deezer,1122,2020-06-08 16:55:57,3,5,885,EUR
182,Midjourney,1704,2022-09-21 05:39:03,2,6,723,EUR
183,Midjourney,1093,2024-12-22 02:51:25,0,2,1160,
184,Deezer,1895,2022-10-06 11:33:15,0,5,371,EUR
185,Disney+,406,2023-06-17 00:26:52,0,4,1404,EUR
186,YouTube Premium,649,2020-12-15 08:57:57,0,5,7,EUR
187,Apple Music,1333,2024-01-12 04:46:13,0,3,1282,EUR
188,Microsoft 365,1481,2024-12-22 00:36:38,0,4,839,EUR
189,Canal+,2409,2022-05-12 23:32:38,0,4,549,
190,Spotify,1124,2025-01-31 00:56:47,0,2,1030,EUR
191,Notion,678,2024-04-11 23:14:44,2,4,1322,EUR
192,NordVPN,1684,2022-02-05 22:10:42,0,5,347,EUR
193,Netflix,402,2023-11-08 22:38:45,0,3,311,EUR
194,Microsoft 365,1326,2023-04-08 05:38:29,3,2,868,EUR
195,Spotify,196,2022-11-16 17:59:20,2,2,1037,EUR
196,Microsoft 365,655,2021-08-15 03:29:40,0,6,1022,EUR
197,Disney+,1064,2021-07-05 22:25:52,0,3,7,EUR
198,Disney+,268,2021-11-30 03:01:31,0,4,256,EUR
199,ChatGPT Plus,95,2021-01-21 15:36:02,0,4,1294,EUR
200,Adobe CC,467,2021-11-24 13:26:41,0,4,439,EUR
201,Deezer,521,2023-12-02 04:06:02,2,4,643,EUR
202,Canal+,1647,2024-03-07 11:28:45,0,2,740,EUR
203,Microsoft 365,357,2020-11-17 08:28:05,2,4,930,EUR
204,Adobe CC,970,2022-06-24 10:19:55,0,4,1480,EUR
205,Apple Music,730,2021-03-14 04:36:14,0,3,985,EUR
206,ChatGPT Plus,1153,2020-12-24 02:20:53,0,5,998,EUR
207,Amazon Prime,1310,2020-12-06 05:04:23,1,4,814,EUR
208,YouTube Premium,449,2023-11-09 04:16:04,2,5,526,EUR
209,Midjourney,555,2023-10-07 12:21:17,0,4,677,EUR
210,Midjourney,1434,2023-11-19 17:57:56,0,5,1380,EUR
211,YouTube Premium,594,2023-09-20 06:33:36,0,4,809,EUR
212,ChatGPT Plus,938,2023-12-22 18:16:03,3,5,1320,EUR
213,Canal+,1351,2023-11-29 09:16:44,0,4,1078,EUR
214,Apple Music,208,2024-12-29 18:00:24,0,4,1408,EUR
215,Amazon Prime,1555,2021-01-26 17:45:42,0,4,659,EUR
216,Notion,1837,2024-10-18 21:14:42,2,5,2,EUR
217,Apple Music,268,2020-12-01 02:11:36,0,3,208,EUR
218,HBO Max,1669,2025-02-15 21:03:52,3,2,486,EUR
219,Spotify,270,2022-11-04 22:33:24,0,3,809,EUR
220,Canal+,1316,2021-08-22 20:35:26,2,6,1496,€
221,Apple Music,1538,2022-02-28 06:28:09,3,3,422,EUR
222,NordVPN,1652,2022-12-21 20:30:43,0,4,1372,€
223,Spotify,1368,2021-12-16 23:15:59,1,5,984,EUR
224,HBO Max,840,2020-08-19 10:59:47,0,5,659,EUR
225,Apple Music,215,2021-04-30 19:01:19,0,5,8,EUR
226,Canal+,1233,2020-09-14 06:49:26,2,3,663,
227,Adobe CC,1880,2023-12-25 14:26:40,2,5,620,EUR
228,Netflix,577,2025-01-20 19:04:36,2,4,327,USD
229,Netflix,444,2021-01-16 15:23:05,3,6,386,EUR
230,Microsoft 365,1341,2021-02-13 23:45:37,2,2,838,
231,Disney+,80,2024-12-02 12:35:07,1,5,1054,EUR
232,Microsoft 365,68,2021-01-11 19:05:03,3,5,704,EUR
233,Canal+,411,2024-09-07 11:40:00,3,6,819,USD
234,Deezer,430,2022-02-04 13:18:30,0,3,1179,EUR
235,Midjourney,1924,2021-04-06 17:22:32,0,4,320,EUR
236,Midjourney,1438,2021-02-24 11:13:35,2,3,476,EUR
237,ChatGPT Plus,1897,2020-07-21 09:44:12,3,4,1150,EUR
238,Amazon Prime,1067,2021-03-02 05:30:29,0,3,1292,EUR
239,HBO Max,1861,2021-01-20 06:35:17,2,5,1093,EUR
240,ChatGPT Plus,604,2024-01-23 22:26:03,0,3,1334,EUR
241,Canal+,1023,2021-05-12 11:34:47,2,4,1382,EUR
242,Deezer,244,2022-10-31 05:30:32,3,3,686,EUR
243,NordVPN,842,2024-02-07 08:21:22,3,3,336,EUR
244,Deezer,343,2021-11-28 06:15:18,2,4,838,EUR
245,HBO Max,580,2020-12-19 23:05:33,3,4,1311,EUR
246,Midjourney,1874,2023-06-21 00:37:54,0,5,1237,
247,Netflix,120,2023-07-23 04:50:43,0,6,897,EUR
248,YouTube Premium,824,2023-07-11 22:37:37,0,4,498,EUR
249,HBO Max,177,2021-09-28 20:50:56,0,3,940,EUR
250,HBO Max,17,2020-08-10 01:50:55,2,3,762,EUR
251,Amazon Prime,775,2023-12-30 22:29:33,3,4,1248,€
252,Adobe CC,8,2023-12-02 13:45:58,0,4,756,€
253,Amazon Prime,278,2021-08-12 04:44:21,0,4,593,EUR
254,Adobe CC,1624,2021-10-15 06:12:57,0,3,503,EUR
255,Canal+,1098,2024-06-03 11:28:16,0,3,594,EUR
256,Netflix,66,2022-09-26 22:21:20,0,5,1335,EUR
257,Midjourney,764,2021-04-13 05:15:19,2,6,910,€
258,YouTube Premium,644,2023-02-16 02:49:57,3,6,498,EUR
259,ChatGPT Plus,1892,2020-06-24 18:51:25,2,4,440,
260,Amazon Prime,1003,2020-10-06 04:19:28,1,4,10,EUR
261,Canal+,1833,2021-04-14 22:01:44,1,6,874,EUR
262,Disney+,1555,2024-10-04 04:31:01,2,3,737,EUR
263,Microsoft 365,590,2021-07-06 10:56:47,1,3,1244,
264,YouTube Premium,790,2023-05-06 20:48:40,0,6,251,EUR
265,Spotify,1584,2021-08-28 07:45:41,0,5,1470,EUR
266,Midjourney,1880,2022-06-15 06:12:04,2,4,15,EUR
267,Midjourney,706,2024-08-10 15:45:27,2,4,826,EUR
268,NordVPN,383,2020-06-03 01:24:50,2,5,1080,EUR
269,Disney+,1831,2024-11-02 00:43:49,1,4,230,EUR
270,HBO Max,861,2022-06-18 11:53:41,0,5,960,EUR
271,HBO Max,295,2023-12-10 10:00:07,0,4,1347,EUR
272,Deezer,287,2022-04-15 08:48:32,1,4,598,EUR
273,NordVPN,1312,2023-10-19 19:51:23,0,4,1221,EUR
274,Netflix,1663,2024-12-08 07:47:34,0,3,488,EUR
275,Notion,10,2020-09-08 03:21:45,0,4,458,EUR
276,ChatGPT Plus,1930,2023-10-21 12:54:45,1,4,892,EUR
277,Netflix,1901,2023-09-07 13:59:39,0,4,6,EUR
278,Notion,490,2022-03-24 10:35:44,0,3,892,EUR
279,ChatGPT Plus,456,2021-02-12 12:38:01,0,4,485,EUR
280,ChatGPT Plus,1868,2021-08-09 09:50:35,1,4,1464,EUR
281,Disney+,606,2021-08-06 08:15:17,2,2,378,EUR
282,Spotify,1854,2023-06-21 22:35:45,2,4,1031,EUR
283,Netflix,1709,2023-10-14 23:56:17,0,3,926,
284,NordVPN,473,2021-10-01 10:40:26,0,4,4,EUR
285,Netflix,1199,2021-04-27 02:02:43,1,5,633,EUR
286,NordVPN,174,2020-12-09 23:42:27,0,5,576,EUR
287,Disney+,772,2021-12-25 07:23:04,2,4,775,EUR
288,NordVPN,2407,2023-01-17 08:29:28,0,4,1473,EUR
289,Deezer,1597,2022-04-06 19:14:55,0,4,988,EUR
290,Notion,1095,2021-01-21 11:21:33,0,4,1103,€
291,Microsoft 365,1603,2021-06-03 10:49:49,1,6,922,EUR
292,Spotify,1885,2024-04-03 07:49:21,3,4,1061,EUR
293,HBO Max,1350,2023-12-21 23:05:08,0,2,1378,EUR
294,HBO Max,658,2025-01-26 20:05:00,0,5,1479,EUR
295,Apple Music,234,2024-06-26 12:35:43,1,5,12,€
296,Deezer,419,2022-07-05 12:38:25,0,3,1195,EUR
297,Disney+,1780,2023-08-21 02:47:35,2,4,782,EUR
298,Spotify,1020,2021-02-14 06:21:17,0,3,838,EUR
299,HBO Max,502,2023-04-12 22:35:47,2,4,1301,EUR
300,Microsoft 365,1440,2021-01-14 06:25:41,0,4,905,EUR
301,NordVPN,779,2022-03-11 09:11:13,0,4,1296,EUR
302,Notion,414,2024-08-22 21:57:30,0,4,898,
303,Spotify,194,2022-10-02 17:53:38,2,2,994,EUR
304,Disney+,600,2024-01-31 07:50:49,0,5,651,EUR
305,Disney+,1000,2022-10-17 20:12:18,0,4,709,€
306,Midjourney,644,2023-09-12 23:00:09,1,6,732,EUR
307,Disney+,328,2022-10-14 20:02:26,2,4,952,EUR
308,Deezer,283,2020-06-19 01:29:26,3,4,1362,EUR
309,Spotify,1759,2021-08-19 06:26:40,2,3,1063,EUR
310,HBO Max,1457,2021-12-10 03:18:02,1,4,854,EUR
311,Canal+,442,2022-09-15 15:47:01,3,3,1378,EUR
312,Midjourney,761,2020-06-14 13:52:41,0,5,799,EUR
313,Midjourney,1413,2020-06-20 10:12:38,0,4,1209,EUR
314,Spotify,766,2024-11-01 19:32:51,0,5,5,EUR
315,Canal+,192,2024-04-07 17:59:18,1,5,494,EUR
316,Disney+,1804,2020-11-22 07:08:25,3,5,752,EUR
317,Notion,820,2024-03-15 09:30:59,0,3,1490,EUR
318,Amazon Prime,1655,2024-01-16 14:06:12,0,3,483,€
319,ChatGPT Plus,1944,2020-10-31 06:28:37,3,5,1260,
320,Canal+,1674,2025-01-13 11:14:00,0,6,635,EUR
321,Notion,47,2024-09-30 23:43:51,0,6,1306,EUR
322,Microsoft 365,176,2022-03-05 15:31:04,0,5,718,EUR
323,NordVPN,1876,2021-07-19 11:13:22,0,6,1058,EUR
324,YouTube Premium,1776,2021-08-27 06:35:08,0,4,391,
325,Adobe CC,1690,2020-06-03 20:11:02,0,5,797,EUR
326,Microsoft 365,1087,2020-12-04 10:59:44,0,2,1272,EUR
327,Netflix,1506,2022-11-06 01:52:07,0,3,777,EUR
328,Midjourney,789,2024-09-29 07:38:33,0,5,876,EUR
329,Adobe CC,1055,2022-04-06 22:41:56,0,4,921,EUR
330,Spotify,25,2023-11-06 01:24:43,0,4,777,EUR
331,Canal+,1125,2020-09-21 03:11:31,0,6,276,EUR
332,Apple Music,211,2024-11-24 16:33:49,2,5,618,EUR
333,Amazon Prime,750,2023-09-23 09:29:42,0,5,1065,EUR
334,Apple Music,1704,2024-02-23 11:58:00,0,5,1267,EUR
335,ChatGPT Plus,976,2020-10-08 12:12:56,2,5,881,EUR
336,Deezer,524,2024-12-31 23:35:26,0,4,870,EUR
337,YouTube Premium,747,2022-07-09 20:20:10,1,4,1242,EUR
338,Spotify,291,2024-05-25 09:53:53,3,5,886,EUR
339,Canal+,2404,2024-01-13 10:20:14,0,4,15,EUR
340,Deezer,1056,2022-02-26 09:15:46,0,5,566,EUR
341,Adobe CC,1662,2022-04-21 15:55:19,0,3,959,EUR
342,ChatGPT Plus,258,2024-10-26 22:21:48,0,4,418,EUR
343,YouTube Premium,2234,2020-06-24 18:43:42,0,4,1166,EUR
344,ChatGPT Plus,1568,2022-04-27 04:46:32,1,5,541,EUR
345,Microsoft 365,1884,2021-05-27 06:07:45,0,5,799,EUR
346,Amazon Prime,1337,2023-09-25 11:43:47,0,5,3,EUR
347,Microsoft 365,290,2022-10-14 18:15:04,0,4,794,USD
348,Microsoft 365,715,2024-07-11 23:02:20,2,5,1115,EUR
349,Notion,1901,2024-01-19 05:49:56,3,5,1393,EUR
350,Apple Music,1250,2023-05-23 23:58:28,2,4,1132,EUR
351,Apple Music,1396,2024-11-15 01:24:12,3,3,11,EUR
352,ChatGPT Plus,1918,2022-10-23 17:48:35,3,6,977,EUR
353,YouTube Premium,1279,2021-12-19 09:11:47,0,3,355,EUR
354,HBO Max,28,2020-08-06 00:36:15,0,4,698,EUR
355,Adobe CC,1616,2021-05-22 02:02:07,0,6,276,EUR
356,ChatGPT Plus,1452,2021-09-14 08:36:32,0,2,266,EUR
357,Adobe CC,428,2022-08-22 22:20:58,2,6,1424,EUR
358,Deezer,452,2022-11-15 23:04:14,0,5,933,EUR
359,NordVPN,581,2023-11-04 19:52:02,0,3,716,
360,Apple Music,1893,2023-09-17 10:03:37,3,5,691,EUR
361,HBO Max,1931,2021-08-05 22:53:51,2,4,947,EUR
362,Deezer,1104,2022-08-29 19:32:45,3,4,540,EUR
363,Netflix,6,2020-09-15 19:45:18,2,5,8,EUR
364,Microsoft 365,1366,2023-08-16 06:26:06,2,4,14,EUR
365,HBO Max,294,2021-05-22 20:50:26,0,5,316,EUR
366,Deezer,481,2023-12-30 09:45:43,2,6,981,EUR
367,Netflix,1663,2021-03-05 18:49:48,3,3,277,EUR
368,Spotify,481,2025-02-13 05:58:32,0,3,207,EUR
369,Netflix,1981,2021-11-22 00:21:53,0,6,672,
370,Midjourney,1114,2021-12-11 08:11:22,1,3,6,EUR
371,Apple Music,855,2021-03-03 00:33:50,0,4,548,EUR
372,Spotify,1661,2021-08-10 23:48:09,3,5,1078,EUR
373,NordVPN,1559,2022-12-29 16:45:41,2,5,725,€
374,Microsoft 365,1867,2022-04-16 09:51:45,0,5,7,EUR
375,Notion,1382,2022-06-30 15:45:19,0,5,1218,EUR
376,Disney+,595,2021-03-22 02:41:45,1,6,831,EUR
377,Microsoft 365,836,2023-06-11 23:39:45,1,5,412,EUR
378,Spotify,1776,2024-09-29 16:17:11,0,4,456,EUR
379,Midjourney,838,2022-06-04 19:25:04,0,4,13,EUR
380,Adobe CC,1603,2021-10-15 15:42:17,0,4,1412,EUR
381,ChatGPT Plus,1055,2024-10-17 16:08:22,0,5,598,EUR
382,Deezer,1674,2021-11-08 02:09:21,0,6,1433,EUR
383,HBO Max,2,2022-11-23 10:53:18,1,4,851,EUR
384,HBO Max,1275,2024-07-02 03:41:40,0,4,1435,EUR
385,YouTube Premium,1718,2025-02-25 16:11:18,0,5,250,
386,Midjourney,1928,2022-11-21 19:43:58,0,4,993,EUR
387,ChatGPT Plus,144,2021-08-07 02:11:32,1,6,921,EUR
388,HBO Max,1092,2021-02-05 10:01:17,1,5,831,EUR
389,Notion,740,2020-10-14 10:04:26,0,5,736,EUR
390,HBO Max,1942,2024-08-05 08:08:29,0,4,301,EUR
391,YouTube Premium,1208,2020-07-26 23:30:30,0,5,507,EUR
392,ChatGPT Plus,802,2020-09-21 05:58:03,0,3,247,EUR
393,Disney+,2087,2022-05-07 10:57:52,3,4,631,EUR
394,Netflix,1816,2020-07-13 09:04:41,2,4,4,€
395,Apple Music,1853,2024-01-07 16:33:01,0,5,1375,EUR
396,Adobe CC,1505,2022-11-13 15:44:31,3,5,868,EUR
397,Notion,1315,2022-10-09 21:17:13,0,6,1423,EUR
398,Canal+,1016,2020-11-02 09:52:40,2,4,1209,EUR
399,Deezer,1925,2022-04-12 00:06:56,0,5,774,EUR
400,Adobe CC,1099,2023-12-24 06:27:28,0,5,606,USD
